               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.036612,            0.046629,           0.0028714,             0.78483,             0.75474,             0.78786,              0.4656,            0.035931,             0.01839,           0.0027943,           0.0079903,           0.0079903,           0.0079903
                  49,             0.03662,            0.046851,           0.0027718,             0.76932,             0.78634,             0.80705,             0.46077,            0.037601,            0.018217,           0.0027538,           0.0079112,           0.0079112,           0.0079112
                  50,            0.036424,            0.046318,           0.0027765,               0.772,             0.77297,             0.80024,             0.47195,            0.035897,              0.0183,           0.0028793,           0.0078311,           0.0078311,           0.0078311
                  51,            0.036379,            0.046235,           0.0029442,             0.76345,             0.79787,             0.80928,             0.47932,            0.036004,            0.018005,           0.0024812,             0.00775,             0.00775,             0.00775
                  52,            0.035946,            0.046183,           0.0025823,             0.78778,             0.78085,             0.79726,             0.46591,            0.037303,            0.018329,           0.0025961,           0.0076679,           0.0076679,           0.0076679
                  53,            0.036107,            0.045325,           0.0028057,             0.76792,             0.78391,             0.78838,             0.46644,            0.038119,            0.018349,           0.0031121,           0.0075848,           0.0075848,           0.0075848
                  54,            0.036083,            0.045765,           0.0028348,             0.83452,             0.72446,             0.79377,             0.47122,            0.037177,            0.018476,           0.0029922,           0.0075009,           0.0075009,           0.0075009
                  55,            0.035925,            0.045705,           0.0027004,             0.77358,              0.7618,             0.79841,             0.46949,            0.038101,             0.01823,           0.0031275,            0.007416,            0.007416,            0.007416
                  56,            0.035712,            0.045305,           0.0027118,             0.78133,             0.77774,             0.79759,             0.46411,            0.038366,            0.018103,           0.0030705,           0.0073303,           0.0073303,           0.0073303
                  57,            0.035756,            0.045431,            0.002713,             0.78247,             0.77748,             0.79261,             0.46679,            0.036805,            0.018674,           0.0032196,           0.0072438,           0.0072438,           0.0072438
                  58,            0.035686,            0.044718,           0.0025607,             0.78718,             0.78867,              0.8006,             0.46838,            0.036528,            0.018487,           0.0031288,           0.0071566,           0.0071566,           0.0071566
                  59,            0.035567,             0.04506,           0.0026306,             0.77129,             0.81104,             0.78759,             0.46481,             0.03665,            0.018416,           0.0030896,           0.0070686,           0.0070686,           0.0070686
                  60,            0.035436,            0.044829,           0.0026389,             0.77371,             0.76582,             0.77904,             0.46409,            0.038043,            0.018774,           0.0031061,           0.0069799,           0.0069799,           0.0069799
                  61,              0.0353,            0.045252,           0.0026934,             0.79617,             0.77381,              0.7899,             0.46268,            0.036869,            0.018878,           0.0029076,           0.0068906,           0.0068906,           0.0068906
                  62,            0.035258,            0.044942,           0.0026925,             0.76163,             0.79907,             0.78902,             0.46726,            0.036772,            0.018825,           0.0028942,           0.0068006,           0.0068006,           0.0068006
                  63,            0.035201,            0.044901,           0.0025493,             0.76284,             0.79795,              0.7881,             0.45527,            0.036709,            0.018529,           0.0026669,           0.0067101,           0.0067101,           0.0067101
                  64,            0.035112,            0.044963,           0.0025622,             0.79316,             0.77544,             0.79473,             0.46242,             0.03706,             0.01846,           0.0027651,           0.0066191,           0.0066191,           0.0066191
                  65,            0.034882,            0.044565,           0.0026523,              0.7389,             0.80452,             0.78633,             0.46559,            0.037303,            0.018433,           0.0027278,           0.0065276,           0.0065276,           0.0065276
                  66,            0.034629,            0.043979,            0.002519,             0.78915,             0.77586,             0.79329,             0.47439,            0.036331,            0.018458,           0.0028622,           0.0064356,           0.0064356,           0.0064356
                  67,             0.03477,            0.044177,           0.0025872,             0.80676,             0.74634,             0.79175,             0.47889,            0.035272,            0.018512,           0.0030209,           0.0063432,           0.0063432,           0.0063432
                  68,            0.034824,            0.044315,           0.0025371,             0.79179,              0.7539,             0.78497,             0.47349,            0.034737,            0.018465,           0.0033957,           0.0062505,           0.0062505,           0.0062505
                  69,            0.034622,            0.044282,           0.0024434,             0.77885,             0.79699,              0.7853,             0.46913,            0.035346,            0.018703,           0.0031882,           0.0061574,           0.0061574,           0.0061574
                  70,            0.034266,            0.043469,           0.0023297,             0.76849,             0.79711,             0.78287,             0.47784,            0.035358,            0.018802,           0.0027925,            0.006064,            0.006064,            0.006064
                  71,            0.034536,            0.043992,           0.0024684,              0.7531,             0.80625,             0.79872,             0.47407,            0.035508,            0.018815,           0.0027908,           0.0059704,           0.0059704,           0.0059704
